,success
0,ACN
1,ATVI
2,APD
3,AKAM
4,ALL
5,AEP
6,AME
7,AMGN
8,AON
9,AVY
10,BLL
11,BDX
12,BSX
13,CHRW
14,KMX
15,CAT
16,CF
17,CVX
18,CME
19,COH
20,CL
21,COP
22,ED
23,STZ
24,DHI
25,DRI
26,DD
27,ETN
28,ECL
29,EQT
30,EXC
31,FTI
32,GIS
33,GPC
34,GILD
35,GWW
36,HAL
37,HRS
38,HIG
39,HCP
40,HP
41,JNJ
42,GMCR
43,KMB
44,KR
45,LB
46,LMT
47,LOW
48,MTB
49,MAC
50,MRO
51,MAR
52,MMC
53,MLM
54,MKC
55,MCD
56,MHFI
57,MDT
58,MCHP
59,TAP
60,MNST
61,MCO
62,NKE
63,JWN
64,NUE
65,NVDA
66,OXY
67,OKE
68,ORCL
69,PCAR
70,PEP
71,PCG
72,PNW
73,RL
74,PCP
75,PGR
76,PVH
77,RAI
78,RHI
79,CRM
80,SCG
81,STX
82,SHW
83,SNA
84,SO
85,STJ
86,SWK
87,SBUX
88,STT
89,TGT
90,TGNA
91,TWX
92,VLO
93,VAR
94,VNO
95,VMC
96,WMT
97,WDC
98,WYNN
99,XLNX
100,ZBH
